,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2023-02-27,-0.6,-2.8,-1.6,-4.4,-8.8,-6.9,-7.7,63.3,0.0,0,0.0,,0.0,0.0,33.5,27.4,51.4,1014.7,87.0,16.0,128.4,11.1,6,10,2023-02-27T06:23:07,2023-02-27T17:31:28,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2023-02-28,2.2,-1.2,1.1,2.2,-7.7,-3.9,-0.7,88.1,6.954,100,83.33,"rain,snow",5.8,0.7,51.8,43.9,93.0,1010.6,100.0,8.9,26.6,2.3,1,10,2023-02-28T06:21:32,2023-02-28T17:32:42,0.28,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702,AP564"
2,"Boston, MA, United States",2023-03-01,5.7,0.5,2.7,4.4,-3.7,-0.8,-2.2,71.3,0.0,0,0.0,,0.0,0.0,25.9,20.2,198.1,1019.1,75.8,15.9,128.2,10.9,6,10,2023-03-01T06:19:56,2023-03-01T17:33:55,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2023-03-02,6.2,2.9,4.6,3.2,-1.2,1.0,2.0,84.0,14.553,100,29.17,rain,0.0,0.0,53.6,27.4,331.9,1006.0,84.6,11.9,32.4,2.9,1,10,2023-03-02T06:18:19,2023-03-02T17:35:08,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KOWD,72509854704,KBED,F2861,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2023-03-03,6.2,1.1,3.4,3.9,-2.9,-0.2,-3.9,59.2,0.0,0,0.0,,0.0,0.0,38.9,22.3,29.3,1016.0,69.9,16.0,138.1,12.0,5,10,2023-03-03T06:16:41,2023-03-03T17:36:21,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2023-03-04,2.2,-0.6,1.3,-3.3,-6.0,-4.9,0.1,91.9,8.711,100,62.5,"rain,snow",3.8,2.6,69.0,52.5,53.6,1005.8,100.0,6.1,39.0,3.4,3,10,2023-03-04T06:15:03,2023-03-04T17:37:34,0.41,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2023-03-05,5.7,-0.7,2.7,1.5,-5.0,-1.4,-2.6,69.0,0.0,0,0.0,,0.0,1.2,42.4,29.4,296.7,1016.7,70.0,16.0,80.3,6.9,4,10,2023-03-05T06:13:24,2023-03-05T17:38:46,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2023-03-06,8.8,2.8,5.1,5.1,-2.5,0.5,-8.5,40.2,0.0,0,0.0,,0.0,0.0,57.6,42.6,294.5,1013.0,30.0,16.0,153.7,13.2,6,10,2023-03-06T06:11:45,2023-03-06T17:39:58,0.47,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
