,datetime,description,icon
0,2023-02-27,Partly cloudy throughout the day.,partly-cloudy-day
1,2023-02-28,Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow
2,2023-03-01,Partly cloudy throughout the day.,partly-cloudy-day
3,2023-03-02,Partly cloudy throughout the day with rain clearing later.,rain
4,2023-03-03,Partly cloudy throughout the day.,partly-cloudy-day
5,2023-03-04,Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow
6,2023-03-05,Partly cloudy throughout the day.,partly-cloudy-day
7,2023-03-06,Becoming cloudy in the afternoon.,partly-cloudy-day
