,datetime,description,icon
0,2023-07-17,Clearing in the afternoon.,partly-cloudy-day
1,2023-07-18,Cloudy skies throughout the day.,cloudy
2,2023-07-19,Cloudy skies throughout the day.,cloudy
3,2023-07-20,Partly cloudy throughout the day.,partly-cloudy-day
4,2023-07-21,Partly cloudy throughout the day.,partly-cloudy-day
5,2023-07-22,Clearing in the afternoon.,partly-cloudy-day
6,2023-07-23,Partly cloudy throughout the day.,partly-cloudy-day
7,2023-07-24,Partly cloudy throughout the day.,partly-cloudy-day
