,datetime,description,icon
0,2023-07-03,Partly cloudy throughout the day.,partly-cloudy-day
1,2023-07-04,Clearing in the afternoon.,partly-cloudy-day
2,2023-07-05,Clear conditions throughout the day.,clear-day
3,2023-07-06,Clear conditions throughout the day.,clear-day
4,2023-07-07,Becoming cloudy in the afternoon.,partly-cloudy-day
5,2023-07-08,Becoming cloudy in the afternoon.,partly-cloudy-day
6,2023-07-09,Partly cloudy throughout the day with morning rain.,rain
7,2023-07-10,Partly cloudy throughout the day with rain in the morning and afternoon.,rain
