,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"São Paulo, SP, Brasil",2023-07-03,17.6,12.0,14.5,17.6,12.0,14.5,11.2,81.6,0.0,0,0.0,,0,0,23.0,17.9,124.3,1024.5,58.6,11.1,54.0,4.5,2,10,2023-07-03T06:49:29,2023-07-03T17:32:24,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
1,"São Paulo, SP, Brasil",2023-07-04,20.9,10.0,14.5,20.9,9.1,14.4,10.7,79.8,0.0,0,0.0,,0,0,22.3,20.8,105.6,1023.9,23.9,10.3,97.7,8.5,4,10,2023-07-04T06:49:30,2023-07-04T17:32:45,0.54,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
2,"São Paulo, SP, Brasil",2023-07-05,23.0,10.8,15.8,23.0,10.8,15.8,9.9,71.1,0.0,0,0.0,,0,0,18.4,13.8,46.7,1023.3,6.6,10.8,94.8,8.0,4,10,2023-07-05T06:49:29,2023-07-05T17:33:07,0.57,Clear,Clear conditions throughout the day.,clear-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
3,"São Paulo, SP, Brasil",2023-07-06,23.1,10.2,17.0,23.1,10.2,17.0,9.0,62.6,0.0,0,0.0,,0,0,17.3,15.2,359.4,1020.8,0.6,10.4,94.5,8.0,4,10,2023-07-06T06:49:28,2023-07-06T17:33:30,0.61,Clear,Clear conditions throughout the day.,clear-day,"SBMT,83779099999,83781099999,F7461,SBSP,SBGR,83780099999"
4,"São Paulo, SP, Brasil",2023-07-07,23.5,10.7,17.4,23.5,10.7,17.4,8.2,57.9,0.0,0,0.0,,0,0,25.2,15.5,333.1,1019.3,24.1,10.7,95.5,8.3,4,10,2023-07-07T06:49:25,2023-07-07T17:33:53,0.64,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"SBMT,83779099999,83781099999,F7461,SBSP,SBGR,83780099999"
5,"São Paulo, SP, Brasil",2023-07-08,26.0,11.3,19.3,26.0,11.3,19.3,9.7,56.9,0.0,0,0.0,rain,0,0,50.0,24.5,318.2,1016.9,50.2,10.6,84.1,7.3,4,10,2023-07-08T06:49:21,2023-07-08T17:34:16,0.68,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"SBMT,83779099999,83781099999,F7461,SBSP,SBGR,83780099999"
6,"São Paulo, SP, Brasil",2023-07-09,19.0,16.0,17.3,19.0,16.0,17.3,15.5,89.2,3.0,100,4.17,rain,0,0,31.0,12.9,301.6,1020.1,71.3,9.9,36.0,3.1,1,10,2023-07-09T06:49:15,2023-07-09T17:34:40,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
7,"São Paulo, SP, Brasil",2023-07-10,23.0,15.9,18.6,23.0,15.9,18.6,16.3,87.2,1.2,100,8.33,rain,0,0,27.0,14.8,46.3,1019.6,84.3,9.4,54.4,4.5,3,10,2023-07-10T06:49:09,2023-07-10T17:35:04,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"SBMT,83779099999,83781099999,F7461,SBSP,SBGR,83780099999"
