,datetime,description,icon
0,2023-08-07,Clear conditions throughout the day.,clear-day
1,2023-08-08,Partly cloudy throughout the day.,partly-cloudy-day
2,2023-08-09,Partly cloudy throughout the day with late afternoon rain.,rain
3,2023-08-10,Clearing in the afternoon.,partly-cloudy-day
4,2023-08-11,Clear conditions throughout the day with late afternoon rain.,rain
5,2023-08-12,Partly cloudy throughout the day with late afternoon rain.,rain
6,2023-08-13,Cloudy skies throughout the day.,cloudy
7,2023-08-14,Cloudy skies throughout the day.,cloudy
