,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"São Paulo, SP, Brasil",2023-08-07,29.6,14.9,22.6,28.1,14.9,22.3,10.9,52.5,0.0,0,0.0,,0,0,50.0,31.8,307.8,1021.9,8.7,10.5,123.0,10.8,5,10,2023-08-07T06:38:13,2023-08-07T17:46:58,0.7,Clear,Clear conditions throughout the day.,clear-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
1,"São Paulo, SP, Brasil",2023-08-08,18.0,16.0,16.8,18.0,16.0,16.8,15.0,89.0,0.0,0,0.0,rain,0,0,37.4,24.2,145.7,1026.5,89.1,9.8,34.2,2.8,2,10,2023-08-08T06:37:34,2023-08-08T17:47:22,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,F7461,SBSP,SBGR,83780099999"
2,"São Paulo, SP, Brasil",2023-08-09,23.0,16.0,18.0,23.0,16.0,18.0,15.8,87.6,10.0,100,4.17,rain,0,0,40.7,19.0,118.9,1023.6,81.6,9.1,92.8,8.0,5,10,2023-08-09T06:36:53,2023-08-09T17:47:46,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,83781099999,F7461,SBSP,SBGR,83780099999"
3,"São Paulo, SP, Brasil",2023-08-10,25.4,15.5,19.9,25.4,15.5,19.9,15.2,76.0,0.0,0,0.0,,0,0,34.6,16.7,83.6,1020.1,34.9,9.6,97.0,8.5,4,10,2023-08-10T06:36:12,2023-08-10T17:48:10,0.8,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
4,"São Paulo, SP, Brasil",2023-08-11,30.0,16.3,21.0,28.8,16.3,20.9,14.4,68.8,1.0,100,4.17,rain,0,0,39.2,23.5,56.7,1019.8,12.6,10.6,112.0,9.6,5,10,2023-08-11T06:35:30,2023-08-11T17:48:34,0.84,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"SBMT,83779099999,83781099999,F7461,SBSP,SBGR,83780099999"
5,"São Paulo, SP, Brasil",2023-08-12,25.4,14.3,18.5,25.4,14.3,18.5,14.1,76.1,0.2,100,4.17,rain,0,0,48.2,30.2,114.0,1021.1,35.5,10.3,89.8,7.7,4,10,2023-08-12T06:34:46,2023-08-12T17:48:58,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,83781099999,F7461,SBSP,SBGR,83780099999"
6,"São Paulo, SP, Brasil",2023-08-13,17.0,13.0,15.5,17.0,13.0,15.5,14.1,91.5,0.0,0,0.0,rain,0,0,30.2,21.5,147.6,1023.9,96.3,9.0,42.3,3.4,2,10,2023-08-13T06:34:02,2023-08-13T17:49:21,0.91,Overcast,Cloudy skies throughout the day.,cloudy,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
7,"São Paulo, SP, Brasil",2023-08-14,16.6,13.0,15.2,16.6,13.0,15.2,13.4,89.2,0.0,0,0.0,,0,0,25.9,13.9,130.8,1023.4,97.2,7.8,28.7,2.5,1,10,2023-08-14T06:33:17,2023-08-14T17:49:44,0.94,Overcast,Cloudy skies throughout the day.,cloudy,"SBMT,F7461,SBSP,SBGR"
