,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"São Paulo, SP, Brasil",2023-06-19,19.2,12.0,14.6,19.2,12.0,14.6,11.0,80.5,0,0,0,,0,0,20.5,18.2,117.6,1026.4,70.3,9.9,93.8,7.9,4,10,2023-06-19T06:47:32,2023-06-19T17:28:28,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
1,"São Paulo, SP, Brasil",2023-06-20,22.0,13.0,16.3,22.0,13.0,16.3,11.0,72.7,0,0,0,,0,0,17.3,18.8,83.0,1024.7,39.5,10.0,95.5,8.2,4,10,2023-06-20T06:47:47,2023-06-20T17:28:40,0.08,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
2,"São Paulo, SP, Brasil",2023-06-21,23.1,11.8,17.0,23.1,11.8,17.0,11.1,71.1,0,0,0,,0,0,16.6,12.9,46.7,1022.1,15.7,10.3,95.8,8.3,4,10,2023-06-21T06:48:01,2023-06-21T17:28:53,0.11,Clear,Clear conditions throughout the day.,clear-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
3,"São Paulo, SP, Brasil",2023-06-22,24.1,11.7,18.0,24.1,11.7,18.0,11.3,67.4,0,0,0,,0,0,22.0,14.5,17.2,1021.2,9.6,10.9,96.0,8.2,4,10,2023-06-22T06:48:13,2023-06-22T17:29:06,0.14,Clear,Clear conditions throughout the day.,clear-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
4,"São Paulo, SP, Brasil",2023-06-23,24.0,12.8,18.5,24.0,12.8,18.5,12.1,69.3,0,0,0,,0,0,23.8,16.1,359.1,1020.3,45.4,10.8,83.4,7.1,3,10,2023-06-23T06:48:25,2023-06-23T17:29:21,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
5,"São Paulo, SP, Brasil",2023-06-24,25.1,12.7,18.8,25.1,12.7,18.8,12.2,68.2,0,0,0,,0,0,24.5,12.0,338.0,1020.9,3.2,9.9,95.9,8.3,4,10,2023-06-24T06:48:36,2023-06-24T17:29:36,0.21,Clear,Clear conditions throughout the day.,clear-day,"SBMT,83779099999,SBSP,F7461,SBGR,83780099999"
6,"São Paulo, SP, Brasil",2023-06-25,26.0,12.7,19.3,26.0,12.7,19.3,12.6,68.2,0,0,0,,0,0,15.8,10.0,322.7,1022.3,5.1,9.3,97.1,8.3,4,10,2023-06-25T06:48:46,2023-06-25T17:29:52,0.24,Clear,Clear conditions throughout the day.,clear-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
7,"São Paulo, SP, Brasil",2023-06-26,26.1,12.7,19.2,26.1,12.7,19.2,11.2,64.8,0,0,0,,0,0,14.0,12.9,50.7,1022.2,0.1,10.0,97.3,8.5,4,10,2023-06-26T06:48:55,2023-06-26T17:30:09,0.25,Clear,Clear conditions throughout the day.,clear-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
