,datetime,description,icon
0,2023-06-19,Partly cloudy throughout the day.,partly-cloudy-day
1,2023-06-20,Clearing in the afternoon.,partly-cloudy-day
2,2023-06-21,Clear conditions throughout the day.,clear-day
3,2023-06-22,Clear conditions throughout the day.,clear-day
4,2023-06-23,Partly cloudy throughout the day.,partly-cloudy-day
5,2023-06-24,Clear conditions throughout the day.,clear-day
6,2023-06-25,Clear conditions throughout the day.,clear-day
7,2023-06-26,Clear conditions throughout the day.,clear-day
