,datetime,description,icon
0,2023-05-15,Becoming cloudy in the afternoon.,partly-cloudy-day
1,2023-05-16,Clear conditions throughout the day.,clear-day
2,2023-05-17,Partly cloudy throughout the day.,partly-cloudy-day
3,2023-05-18,Clearing in the afternoon.,partly-cloudy-day
4,2023-05-19,Clearing in the afternoon.,partly-cloudy-day
5,2023-05-20,Clearing in the afternoon.,partly-cloudy-day
6,2023-05-21,Partly cloudy throughout the day.,partly-cloudy-day
7,2023-05-22,Partly cloudy throughout the day.,partly-cloudy-day
