,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"São Paulo, SP, Brasil",2023-07-31,25.0,14.9,17.8,25.0,14.9,17.8,13.4,77.9,0,0,0,,0,0,16.9,14.7,91.3,1025.0,67.7,7.9,116.4,10.0,5,10,2023-07-31T06:42:21,2023-07-31T17:44:02,0.46,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SBMT,83779099999,83781099999,F7461,SBSP,SBGR,83780099999"
1,"São Paulo, SP, Brasil",2023-08-01,24.4,14.1,18.0,24.4,14.1,18.0,13.8,79.4,0,0,0,,0,0,16.6,16.2,113.4,1024.7,45.4,7.6,102.4,8.8,4,10,2023-08-01T06:41:49,2023-08-01T17:44:28,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SBMT,83779099999,83781099999,F7461,SBSP,SBGR,83780099999"
2,"São Paulo, SP, Brasil",2023-08-02,28.4,14.3,19.7,27.3,14.3,19.6,12.4,68.7,0,0,0,,0,0,20.5,11.1,30.0,1023.3,19.5,8.1,120.0,10.5,5,10,2023-08-02T06:41:15,2023-08-02T17:44:53,0.53,Clear,Clear conditions throughout the day.,clear-day,"SBMT,83779099999,83781099999,F7461,SBSP,SBGR,83780099999"
3,"São Paulo, SP, Brasil",2023-08-03,28.3,12.8,20.0,27.2,12.8,19.9,11.8,62.8,0,0,0,,0,0,20.9,18.9,206.0,1021.9,0.0,10.8,120.0,10.3,5,10,2023-08-03T06:40:41,2023-08-03T17:45:18,0.56,Clear,Clear conditions throughout the day.,clear-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
4,"São Paulo, SP, Brasil",2023-08-04,24.3,11.8,17.3,24.3,11.8,17.3,12.3,74.4,0,0,0,,0,0,20.9,16.4,157.0,1021.8,4.7,9.5,119.0,10.3,5,10,2023-08-04T06:40:06,2023-08-04T17:45:44,0.6,Clear,Clear conditions throughout the day.,clear-day,"SBMT,83779099999,83781099999,F7461,SBSP,SBGR,83780099999"
5,"São Paulo, SP, Brasil",2023-08-05,27.2,11.7,19.0,26.4,11.7,18.9,11.3,67.2,0,0,0,,0,0,24.5,17.9,137.0,1022.5,0.0,8.8,121.3,10.5,5,10,2023-08-05T06:39:29,2023-08-05T17:46:09,0.63,Clear,Clear conditions throughout the day.,clear-day,"SBMT,83779099999,83781099999,F7461,SBSP,SBGR,83780099999"
6,"São Paulo, SP, Brasil",2023-08-06,29.1,13.2,20.3,27.8,13.2,20.1,11.8,63.2,0,0,0,,0,0,18.4,12.0,78.2,1022.2,0.0,9.4,123.2,10.7,5,10,2023-08-06T06:38:52,2023-08-06T17:46:33,0.67,Clear,Clear conditions throughout the day.,clear-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
7,"São Paulo, SP, Brasil",2023-08-07,29.6,14.9,22.6,28.1,14.9,22.3,10.9,52.5,0,0,0,,0,0,50.0,31.8,307.8,1021.9,8.7,10.5,123.0,10.8,5,10,2023-08-07T06:38:13,2023-08-07T17:46:58,0.7,Clear,Clear conditions throughout the day.,clear-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
