,datetime,description,icon
0,2023-07-31,Clearing in the afternoon.,partly-cloudy-day
1,2023-08-01,Clearing in the afternoon.,partly-cloudy-day
2,2023-08-02,Clear conditions throughout the day.,clear-day
3,2023-08-03,Clear conditions throughout the day.,clear-day
4,2023-08-04,Clear conditions throughout the day.,clear-day
5,2023-08-05,Clear conditions throughout the day.,clear-day
6,2023-08-06,Clear conditions throughout the day.,clear-day
7,2023-08-07,Clear conditions throughout the day.,clear-day
