,datetime,description,icon
0,2023-03-06,Becoming cloudy in the afternoon.,partly-cloudy-day
1,2023-03-07,Partly cloudy throughout the day.,partly-cloudy-day
2,2023-03-08,Partly cloudy throughout the day.,partly-cloudy-day
3,2023-03-09,Partly cloudy throughout the day.,partly-cloudy-day
4,2023-03-10,Partly cloudy throughout the day.,partly-cloudy-day
5,2023-03-11,Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain
6,2023-03-12,Becoming cloudy in the afternoon.,partly-cloudy-day
7,2023-03-13,Cloudy skies throughout the day with rain.,rain
