,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2023-03-06,8.8,2.8,5.1,5.1,-2.5,0.5,-8.5,40.2,0.0,0,0.0,,0,0,57.6,42.6,294.5,1013.0,30.0,16.0,153.7,13.2,6,10,2023-03-06T06:11:45,2023-03-06T17:39:58,0.47,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2023-03-07,3.8,-1.1,1.5,-1.0,-8.6,-4.0,-8.8,47.6,0.0,0,0.0,,0,0,51.7,36.6,311.1,1007.6,82.1,15.6,138.1,11.8,6,10,2023-03-07T06:10:05,2023-03-07T17:41:09,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2023-03-08,8.4,-1.1,3.4,5.3,-7.6,-1.6,-5.0,54.9,0.0,0,0.0,,0,0,46.1,33.1,321.8,1016.2,84.0,16.0,98.3,8.5,4,10,2023-03-08T06:08:24,2023-03-08T17:42:21,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2023-03-09,8.4,1.2,4.3,6.2,-3.8,0.4,-2.5,62.0,0.0,0,0.0,,0,0,42.5,29.1,352.9,1019.4,82.3,16.0,144.2,12.5,6,10,2023-03-09T06:06:43,2023-03-09T17:43:32,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2023-03-10,10.0,-0.2,4.1,10.0,-4.7,1.1,-3.0,61.6,0.0,0,0.0,,0,0,20.5,18.0,329.4,1015.0,56.7,16.0,138.3,12.0,6,10,2023-03-10T06:05:02,2023-03-10T17:44:43,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2023-03-11,4.4,1.7,2.9,1.4,-4.3,-1.8,-0.8,76.9,1.6,100,29.17,"rain,snow",0,0,42.5,34.7,29.7,1009.4,97.9,14.0,29.2,2.5,1,10,2023-03-11T06:03:20,2023-03-11T17:45:53,0.65,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2023-03-12,5.1,0.0,2.7,0.9,-4.7,-1.4,-3.4,64.9,0.0,0,0.0,,0,0,31.3,25.6,34.8,1016.6,66.9,16.0,184.9,15.3,7,10,2023-03-12T07:01:38,2023-03-12T18:47:04,0.68,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2023-03-13,5.7,2.1,4.1,3.3,-0.5,1.5,1.1,81.4,5.043,100,37.5,rain,0,0,40.7,22.2,69.0,1016.0,98.0,15.2,40.0,3.6,1,10,2023-03-13T06:59:55,2023-03-13T18:48:14,0.72,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
