,datetime,description,icon
0,2023-03-27,Partly cloudy throughout the day with rain in the morning and afternoon.,rain
1,2023-03-28,Partly cloudy throughout the day.,partly-cloudy-day
2,2023-03-29,Partly cloudy throughout the day.,partly-cloudy-day
3,2023-03-30,Partly cloudy throughout the day.,partly-cloudy-day
4,2023-03-31,Partly cloudy throughout the day with afternoon rain.,rain
5,2023-04-01,Partly cloudy throughout the day.,partly-cloudy-day
6,2023-04-02,Partly cloudy throughout the day.,partly-cloudy-day
7,2023-04-03,Partly cloudy throughout the day.,partly-cloudy-day
