,datetime,description,icon
0,2023-03-13,Partly cloudy throughout the day with rain.,rain
1,2023-03-14,Partly cloudy throughout the day with late afternoon rain.,rain
2,2023-03-15,Partly cloudy throughout the day.,partly-cloudy-day
3,2023-03-16,Partly cloudy throughout the day.,partly-cloudy-day
4,2023-03-17,Partly cloudy throughout the day.,partly-cloudy-day
5,2023-03-18,Partly cloudy throughout the day.,partly-cloudy-day
6,2023-03-19,Partly cloudy throughout the day.,partly-cloudy-day
7,2023-03-20,Partly cloudy throughout the day.,partly-cloudy-day
