,datetime,tempmin,temp,tempmax
0,2023-03-13,19.9,21.5,26.6
1,2023-03-14,20.0,22.1,26.4
2,2023-03-15,19.2,22.1,26.2
3,2023-03-16,19.0,22.3,27.6
4,2023-03-17,17.9,21.6,27.0
5,2023-03-18,17.0,21.9,28.1
6,2023-03-19,20.0,23.2,29.7
7,2023-03-20,20.3,24.5,30.6
