,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"São Paulo, SP, Brasil",2023-04-10,24.6,15.4,19.1,24.6,15.4,19.1,14.1,74.8,0.0,0,0.0,,0,0,26.3,21.1,126.9,1021.9,37.2,10.6,255.0,22.1,9,10,2023-04-10T06:18:13,2023-04-10T17:57:26,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,SBGR,83780099999"
1,"São Paulo, SP, Brasil",2023-04-11,26.5,16.0,20.0,26.5,16.0,20.0,16.0,79.7,0.3,100,8.33,rain,0,0,22.3,17.1,125.7,1019.5,64.4,9.2,200.8,17.4,9,10,2023-04-11T06:18:36,2023-04-11T17:56:31,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"SBMT,83779099999,83781099999,SBSP,SBGR,83780099999"
2,"São Paulo, SP, Brasil",2023-04-12,28.0,17.4,21.8,28.7,17.4,21.9,17.7,78.8,0.0,0,0.0,rain,0,0,12.2,16.2,54.6,1016.9,64.4,9.5,248.9,21.6,9,10,2023-04-12T06:19:00,2023-04-12T17:55:37,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,SBGR,83780099999"
3,"São Paulo, SP, Brasil",2023-04-13,28.2,18.0,23.0,28.6,18.0,23.0,18.4,77.0,0.1,100,4.17,rain,0,0,15.8,15.2,8.5,1014.8,46.6,10.6,248.5,21.5,9,10,2023-04-13T06:19:23,2023-04-13T17:54:43,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"SBMT,83779099999,83781099999,SBSP,SBGR,83780099999"
4,"São Paulo, SP, Brasil",2023-04-14,25.0,18.8,21.6,25.0,18.8,21.6,18.7,84.5,10.1,100,12.5,rain,0,0,20.5,16.1,294.4,1015.2,65.0,10.4,98.3,8.7,5,10,2023-04-14T06:19:47,2023-04-14T17:53:49,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
5,"São Paulo, SP, Brasil",2023-04-15,22.0,18.4,19.8,22.0,18.4,19.8,18.3,91.0,0.4,100,4.17,rain,0,0,19.4,17.9,166.4,1018.3,91.3,9.7,74.8,6.5,3,10,2023-04-15T06:20:11,2023-04-15T17:52:56,0.84,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"SBMT,83779099999,SBSP,F7461,SBGR,83780099999"
6,"São Paulo, SP, Brasil",2023-04-16,26.7,17.9,21.2,26.7,17.9,21.2,17.5,81.0,0.0,0,0.0,rain,0,0,21.2,14.1,110.1,1017.5,60.5,10.8,135.3,11.8,6,10,2023-04-16T06:20:35,2023-04-16T17:52:04,0.87,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SBMT,83779099999,SBSP,F7461,SBGR,83780099999"
7,"São Paulo, SP, Brasil",2023-04-17,28.0,19.8,22.4,28.7,19.8,22.6,18.3,78.8,0.7,100,4.17,rain,0,0,37.4,25.3,341.0,1011.3,42.9,10.5,105.7,9.1,5,10,2023-04-17T06:20:59,2023-04-17T17:51:12,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
