,datetime,description,icon
0,2023-04-10,Partly cloudy throughout the day.,partly-cloudy-day
1,2023-04-11,Partly cloudy throughout the day with afternoon rain.,rain
2,2023-04-12,Partly cloudy throughout the day.,partly-cloudy-day
3,2023-04-13,Partly cloudy throughout the day with early morning rain.,rain
4,2023-04-14,Partly cloudy throughout the day with rain.,rain
5,2023-04-15,Cloudy skies throughout the day with late afternoon rain.,rain
6,2023-04-16,Clearing in the afternoon.,partly-cloudy-day
7,2023-04-17,Partly cloudy throughout the day with late afternoon rain.,rain
