,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2023-01-09,5.7,-1.7,1.9,2.9,-6.0,-2.0,-3.6,67.9,0.0,0,0.0,,0.2,0.0,35.3,20.3,261.1,1012.8,58.9,15.9,58.8,5.0,4,10,2023-01-09T07:13:03,2023-01-09T16:29:55,0.59,Partially cloudy,Partly cloudy throughout the day.,snow,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
1,"Boston, MA, United States",2023-01-10,5.0,-2.1,2.2,1.6,-6.9,-1.8,-6.3,54.1,0.0,0,0.0,,0.0,0.0,37.0,23.9,306.1,1014.9,68.9,16.0,64.2,5.6,4,10,2023-01-10T07:12:48,2023-01-10T16:30:59,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,F2973,OXBM3"
2,"Boston, MA, United States",2023-01-11,1.7,-5.0,-1.7,-1.5,-10.8,-6.1,-6.8,68.1,0.0,0,0.0,,0.0,0.0,22.3,16.4,3.0,1025.3,71.0,15.4,63.4,5.5,3,10,2023-01-11T07:12:31,2023-01-11T16:32:05,0.66,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"C2236,KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702"
3,"Boston, MA, United States",2023-01-12,7.9,-0.7,2.7,4.5,-4.3,-0.3,1.1,89.4,4.312,100,45.83,"rain,snow",0.0,0.0,46.4,22.2,108.6,1022.4,100.0,14.2,10.5,0.9,0,10,2023-01-12T07:12:11,2023-01-12T16:33:12,0.69,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"KOWD,72509854704,BLUM3,KBED,0518W,KBOS,72509014739,F9156,72505914702"
4,"Boston, MA, United States",2023-01-13,14.4,5.6,11.5,14.4,1.7,10.8,9.4,87.0,12.256,100,41.67,rain,0.0,0.0,60.1,43.9,204.6,1002.2,99.1,13.8,20.7,1.8,1,10,2023-01-13T07:11:49,2023-01-13T16:34:20,0.73,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,E9991,72505914702,OXBM3"
5,"Boston, MA, United States",2023-01-14,3.9,0.7,1.3,-0.4,-4.7,-3.5,-0.5,88.2,1.687,100,41.67,"rain,snow",0.1,0.0,44.3,27.3,346.3,1009.0,100.0,9.1,11.5,1.0,1,10,2023-01-14T07:11:25,2023-01-14T16:35:29,0.75,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
6,"Boston, MA, United States",2023-01-15,2.9,-1.6,0.5,-1.9,-8.5,-5.9,-5.4,67.5,0.585,100,8.33,"rain,freezingrain,snow",4.0,0.7,55.6,38.5,6.0,1014.6,97.2,11.6,21.7,2.0,1,10,2023-01-15T07:10:59,2023-01-15T16:36:39,0.79,"Snow, Rain, Freezing Drizzle/Freezing Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,snow,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702,F7922,OXBM3"
7,"Boston, MA, United States",2023-01-16,0.7,-1.1,0.0,-4.4,-7.8,-5.7,-3.0,80.9,2.629,100,41.67,"rain,snow",9.5,6.6,51.8,29.3,331.7,1008.6,100.0,11.0,22.6,1.8,1,10,2023-01-16T07:10:30,2023-01-16T16:37:49,0.83,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,F2973,OXBM3"
