,datetime,description,icon
0,2023-01-09,Partly cloudy throughout the day.,snow
1,2023-01-10,Partly cloudy throughout the day.,partly-cloudy-day
2,2023-01-11,Becoming cloudy in the afternoon.,partly-cloudy-day
3,2023-01-12,Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain
4,2023-01-13,Cloudy skies throughout the day with rain.,rain
5,2023-01-14,Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow
6,2023-01-15,Cloudy skies throughout the day with late afternoon rain or snow.,snow
7,2023-01-16,Cloudy skies throughout the day with rain or snow in the morning and afternoon.,snow
