,datetime,description,icon
0,2023-05-29,Cloudy skies throughout the day.,cloudy
1,2023-05-30,Cloudy skies throughout the day.,cloudy
2,2023-05-31,Cloudy skies throughout the day with rain in the morning and afternoon.,rain
3,2023-06-01,Partly cloudy throughout the day.,partly-cloudy-day
4,2023-06-02,Partly cloudy throughout the day.,partly-cloudy-day
5,2023-06-03,Clearing in the afternoon.,partly-cloudy-day
6,2023-06-04,Clear conditions throughout the day.,clear-day
7,2023-06-05,Partly cloudy throughout the day.,partly-cloudy-day
