,datetime,description,icon
0,2023-07-10,Partly cloudy throughout the day with rain in the morning and afternoon.,rain
1,2023-07-11,Partly cloudy throughout the day.,partly-cloudy-day
2,2023-07-12,Partly cloudy throughout the day.,partly-cloudy-day
3,2023-07-13,Partly cloudy throughout the day.,partly-cloudy-day
4,2023-07-14,Partly cloudy throughout the day.,partly-cloudy-day
5,2023-07-15,Clearing in the afternoon.,partly-cloudy-day
6,2023-07-16,Partly cloudy throughout the day.,partly-cloudy-day
7,2023-07-17,Clearing in the afternoon.,partly-cloudy-day
