,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"São Paulo, SP, Brasil",2023-07-10,23.0,15.9,18.6,23.0,15.9,18.6,16.3,87.2,1.2,100,8.33,rain,0,0,27.0,14.8,46.3,1019.6,84.3,9.4,54.4,4.5,3,10,2023-07-10T06:49:09,2023-07-10T17:35:04,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"SBMT,83779099999,83781099999,F7461,SBSP,SBGR,83780099999"
1,"São Paulo, SP, Brasil",2023-07-11,26.6,16.8,20.2,26.6,16.8,20.2,16.2,80.6,0.0,0,0.0,,0,0,22.7,15.4,160.4,1018.5,50.6,8.4,74.3,6.5,4,10,2023-07-11T06:49:02,2023-07-11T17:35:28,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,F7461,SBSP,SBGR,83780099999"
2,"São Paulo, SP, Brasil",2023-07-12,28.1,17.0,21.9,27.1,17.0,21.7,13.4,65.1,0.0,0,0.0,,0,0,50.4,21.4,10.5,1014.1,40.4,8.0,95.5,8.2,4,10,2023-07-12T06:48:53,2023-07-12T17:35:53,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,F7461,SBSP,SBGR,83780099999"
3,"São Paulo, SP, Brasil",2023-07-13,25.0,18.0,21.4,25.0,18.0,21.4,6.9,42.2,0.0,0,0.0,,0,0,66.2,37.6,310.1,1011.4,22.8,11.0,106.6,9.1,4,10,2023-07-13T06:48:43,2023-07-13T17:36:17,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,F7461,SBSP,SBGR,83780099999"
4,"São Paulo, SP, Brasil",2023-07-14,16.0,10.4,13.4,16.0,10.4,13.4,6.3,63.3,0.0,0,0.0,,0,0,40.7,18.6,184.2,1020.0,41.3,10.8,86.9,7.5,4,10,2023-07-14T06:48:32,2023-07-14T17:36:42,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,F7461,SBSP,SBGR,83780099999"
5,"São Paulo, SP, Brasil",2023-07-15,20.4,9.9,13.6,20.4,8.7,13.4,9.3,77.5,0.0,0,0.0,,0,0,25.9,18.2,107.3,1021.5,39.3,10.5,95.1,8.2,4,10,2023-07-15T06:48:19,2023-07-15T17:37:08,0.92,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
6,"São Paulo, SP, Brasil",2023-07-16,24.0,8.8,16.0,24.0,8.8,16.0,9.5,69.6,0.0,0,0.0,,0,0,22.7,14.3,305.1,1020.1,35.3,9.2,91.5,8.0,4,10,2023-07-16T06:48:06,2023-07-16T17:37:33,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
7,"São Paulo, SP, Brasil",2023-07-17,25.8,14.3,18.1,25.8,14.3,18.1,13.0,74.6,0.0,0,0.0,,0,0,25.6,18.2,163.0,1021.0,52.8,8.0,98.4,8.3,4,10,2023-07-17T06:47:51,2023-07-17T17:37:59,0.0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SBMT,83779099999,83781099999,F7461,SBSP,SBGR,83780099999"
