,datetime,description,icon
0,2023-05-08,Partly cloudy throughout the day.,partly-cloudy-day
1,2023-05-09,Becoming cloudy in the afternoon.,partly-cloudy-day
2,2023-05-10,Cloudy skies throughout the day with morning rain.,rain
3,2023-05-11,Partly cloudy throughout the day.,partly-cloudy-day
4,2023-05-12,Partly cloudy throughout the day.,partly-cloudy-day
5,2023-05-13,Partly cloudy throughout the day.,partly-cloudy-day
6,2023-05-14,Clearing in the afternoon.,partly-cloudy-day
7,2023-05-15,Becoming cloudy in the afternoon.,partly-cloudy-day
