,datetime,tempmin,temp,tempmax
0,2023-05-08,18.4,22.3,27.2
1,2023-05-09,17.2,21.5,26.0
2,2023-05-10,17.0,19.0,21.0
3,2023-05-11,16.0,18.8,23.5
4,2023-05-12,14.0,15.9,19.0
5,2023-05-13,13.0,15.3,20.3
6,2023-05-14,12.6,16.4,22.2
7,2023-05-15,9.8,16.0,22.0
