,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"São Paulo, SP, Brasil",2023-05-08,27.2,18.4,22.3,27.4,18.4,22.4,16.9,73.8,0,0,0.0,,0,0,19.4,14.4,355.5,1020.0,21.4,9.6,115.8,10.2,4,10,2023-05-08T06:30:07,2023-05-08T17:35:59,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
1,"São Paulo, SP, Brasil",2023-05-09,26.0,17.2,21.5,26.0,17.2,21.5,18.0,81.7,0,0,0.0,rain,0,0,18.7,18.3,194.0,1020.1,40.0,9.7,91.7,8.0,4,10,2023-05-09T06:30:35,2023-05-09T17:35:25,0.64,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
2,"São Paulo, SP, Brasil",2023-05-10,21.0,17.0,19.0,21.0,17.0,19.0,17.8,92.5,2,100,4.17,rain,0,0,20.5,16.1,144.1,1019.2,95.1,7.7,38.0,3.2,2,10,2023-05-10T06:31:02,2023-05-10T17:34:53,0.68,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
3,"São Paulo, SP, Brasil",2023-05-11,23.5,16.0,18.8,23.5,16.0,18.8,14.6,78.8,0,0,0.0,rain,0,0,33.5,18.9,176.2,1017.4,65.5,9.9,140.5,12.2,6,10,2023-05-11T06:31:30,2023-05-11T17:34:22,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
4,"São Paulo, SP, Brasil",2023-05-12,19.0,14.0,15.9,19.0,14.0,15.9,12.1,79.0,0,0,0.0,rain,0,0,23.8,19.9,165.8,1019.6,73.1,10.1,85.8,7.3,3,10,2023-05-12T06:31:59,2023-05-12T17:33:51,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,SBSP,F7461,SBGR,83780099999"
5,"São Paulo, SP, Brasil",2023-05-13,20.3,13.0,15.3,20.3,13.0,15.3,11.8,80.7,0,0,0.0,,0,0,23.0,15.5,133.6,1021.1,70.2,10.4,74.2,6.5,4,10,2023-05-13T06:32:27,2023-05-13T17:33:22,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,SBSP,F7461,SBGR,83780099999"
6,"São Paulo, SP, Brasil",2023-05-14,22.2,12.6,16.4,22.2,12.6,16.4,11.2,75.1,0,0,0.0,,0,0,31.7,15.0,100.6,1022.1,42.0,10.5,108.4,9.3,4,10,2023-05-14T06:32:55,2023-05-14T17:32:54,0.82,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SBMT,83779099999,SBSP,F7461,SBGR,83780099999"
7,"São Paulo, SP, Brasil",2023-05-15,22.0,9.8,16.0,22.0,9.8,16.0,9.7,71.7,0,0,0.0,,0,0,16.9,12.1,184.7,1022.2,35.4,9.6,106.2,9.2,4,10,2023-05-15T06:33:23,2023-05-15T17:32:27,0.86,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
