,datetime,tempmin,temp,tempmax
0,2023-04-17,19.8,22.4,28.0
1,2023-04-18,20.0,21.6,24.6
2,2023-04-19,16.8,20.2,24.0
3,2023-04-20,13.8,16.8,21.0
4,2023-04-21,11.0,16.0,21.6
5,2023-04-22,14.0,17.7,23.6
6,2023-04-23,15.7,19.1,24.6
7,2023-04-24,15.6,18.8,24.6
