,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"São Paulo, SP, Brasil",2023-04-17,28.0,19.8,22.4,28.7,19.8,22.6,18.3,78.8,0.7,100,4.17,rain,0,0,37.4,25.3,341.0,1011.3,42.9,10.5,105.7,9.1,5,10,2023-04-17T06:20:59,2023-04-17T17:51:12,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
1,"São Paulo, SP, Brasil",2023-04-18,24.6,20.0,21.6,24.6,20.0,21.6,19.8,89.9,23.3,100,8.33,rain,0,0,54.4,22.6,310.5,1007.4,71.8,9.9,50.5,4.5,3,30,2023-04-18T06:21:23,2023-04-18T17:50:21,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
2,"São Paulo, SP, Brasil",2023-04-19,24.0,16.8,20.2,24.0,16.8,20.2,14.2,71.0,4.0,100,4.17,rain,0,0,44.6,23.1,293.5,1010.8,53.6,11.0,130.5,11.3,5,10,2023-04-19T06:21:48,2023-04-19T17:49:31,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
3,"São Paulo, SP, Brasil",2023-04-20,21.0,13.8,16.8,21.0,13.8,16.8,9.8,64.8,0.0,0,0.0,,0,0,36.0,21.1,205.5,1018.2,21.2,11.0,124.8,11.0,5,10,2023-04-20T06:22:13,2023-04-20T17:48:41,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
4,"São Paulo, SP, Brasil",2023-04-21,21.6,11.0,16.0,21.6,11.0,16.0,11.4,76.3,0.0,0,0.0,,0,0,27.7,22.0,126.6,1021.2,37.5,10.8,120.2,10.4,4,10,2023-04-21T06:22:37,2023-04-21T17:47:51,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,SBSP,F7461,SBGR,83780099999"
5,"São Paulo, SP, Brasil",2023-04-22,23.6,14.0,17.7,23.6,14.0,17.7,13.9,79.9,0.0,0,0.0,,0,0,25.2,19.2,117.1,1021.7,53.7,10.7,120.6,10.5,5,10,2023-04-22T06:23:02,2023-04-22T17:47:03,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,SBSP,F7461,SBGR,83780099999"
6,"São Paulo, SP, Brasil",2023-04-23,24.6,15.7,19.1,24.6,15.7,19.1,15.3,80.1,0.0,0,0.0,rain,0,0,22.3,18.3,123.3,1022.1,53.8,10.8,120.5,10.5,5,10,2023-04-23T06:23:28,2023-04-23T17:46:15,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,SBSP,F7461,SBGR,83780099999"
7,"São Paulo, SP, Brasil",2023-04-24,24.6,15.6,18.8,24.6,15.6,18.8,13.6,74.3,0.0,0,0.0,rain,0,0,23.4,22.2,117.2,1022.7,29.2,11.0,139.6,12.1,5,10,2023-04-24T06:23:53,2023-04-24T17:45:28,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
