,datetime,description,icon
0,2023-04-17,Partly cloudy throughout the day with late afternoon rain.,rain
1,2023-04-18,Partly cloudy throughout the day with rain.,rain
2,2023-04-19,Partly cloudy throughout the day with morning rain.,rain
3,2023-04-20,Partly cloudy throughout the day.,partly-cloudy-day
4,2023-04-21,Partly cloudy throughout the day.,partly-cloudy-day
5,2023-04-22,Partly cloudy throughout the day.,partly-cloudy-day
6,2023-04-23,Partly cloudy throughout the day.,partly-cloudy-day
7,2023-04-24,Partly cloudy throughout the day.,partly-cloudy-day
