,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"São Paulo, SP, Brasil",2023-03-20,30.6,20.3,24.5,30.3,20.3,24.5,18.2,71.0,0.0,0,0.0,rain,0,0,14.4,23.3,336.2,1017.6,31.4,11.0,160.5,13.8,6,30,2023-03-20T06:10:09,2023-03-20T18:17:46,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
1,"São Paulo, SP, Brasil",2023-03-21,28.6,18.9,23.2,28.9,18.9,23.3,17.8,73.7,0.0,0,0.0,,0,0,24.1,22.1,146.7,1019.1,30.2,10.8,175.0,15.1,6,10,2023-03-21T06:10:32,2023-03-21T18:16:47,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
2,"São Paulo, SP, Brasil",2023-03-22,28.3,18.9,22.8,29.6,18.9,22.9,18.1,76.3,0.0,0,0.0,,0,0,24.1,19.1,141.4,1021.1,44.1,10.8,178.5,15.4,6,10,2023-03-22T06:10:56,2023-03-22T18:15:48,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
3,"São Paulo, SP, Brasil",2023-03-23,28.6,19.0,22.9,29.3,19.0,23.0,17.7,74.3,0.0,0,0.0,,0,0,22.3,17.1,118.4,1020.9,26.1,11.1,173.5,14.7,6,10,2023-03-23T06:11:19,2023-03-23T18:14:49,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
4,"São Paulo, SP, Brasil",2023-03-24,30.1,19.8,24.5,30.4,19.8,24.7,17.9,69.3,0.0,0,0.0,,0,0,22.7,14.6,229.3,1018.8,40.5,11.0,201.6,17.4,8,30,2023-03-24T06:11:42,2023-03-24T18:13:49,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
5,"São Paulo, SP, Brasil",2023-03-25,29.6,18.3,23.2,30.2,18.3,23.4,18.6,77.4,0.0,0,0.0,,0,0,19.1,16.1,158.3,1018.6,31.9,9.9,154.5,13.5,5,30,2023-03-25T06:12:06,2023-03-25T18:12:50,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,SBSP,F7461,SBGR,83780099999"
6,"São Paulo, SP, Brasil",2023-03-26,30.8,20.0,25.3,31.3,20.0,25.6,18.5,69.1,0.0,0,0.0,rain,0,0,44.6,25.3,322.6,1017.4,50.5,10.5,173.3,14.9,6,30,2023-03-26T06:12:29,2023-03-26T18:11:51,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,SBSP,F7461,SBGR,83780099999"
7,"São Paulo, SP, Brasil",2023-03-27,23.6,19.0,20.5,23.6,19.0,20.5,18.7,89.7,6.8,100,8.33,rain,0,0,25.9,20.7,147.1,1019.3,88.2,9.5,90.0,7.9,5,10,2023-03-27T06:12:52,2023-03-27T18:10:52,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
