,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"São Paulo, SP, Brasil",2023-05-01,26.0,18.4,21.0,26.0,18.4,21.0,17.1,79.7,0,0,0,rain,0,0,17.3,18.1,139.5,1018.4,69.9,9.9,110.9,9.4,5,10,2023-05-01T06:26:56,2023-05-01T17:40:21,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,SBSP,F7461,SBGR,83780099999"
1,"São Paulo, SP, Brasil",2023-05-02,25.4,18.0,20.6,25.4,18.0,20.6,17.2,81.7,0,0,0,rain,0,0,18.0,19.9,122.4,1017.4,68.6,8.5,100.3,8.7,4,10,2023-05-02T06:27:23,2023-05-02T17:39:41,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
2,"São Paulo, SP, Brasil",2023-05-03,27.0,18.0,21.2,26.9,18.0,21.2,17.1,79.7,0,0,0,,0,0,13.7,13.4,115.2,1017.9,64.2,8.5,103.0,8.9,4,10,2023-05-03T06:27:50,2023-05-03T17:39:02,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
3,"São Paulo, SP, Brasil",2023-05-04,27.4,19.0,22.2,27.4,19.0,22.3,16.7,73.5,0,0,0,,0,0,17.6,13.0,19.2,1019.3,39.6,9.0,123.9,10.7,4,10,2023-05-04T06:28:17,2023-05-04T17:38:23,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
4,"São Paulo, SP, Brasil",2023-05-05,27.6,17.0,21.9,27.9,17.0,21.9,17.8,79.6,0,0,0,rain,0,0,21.2,17.2,129.7,1021.6,31.9,7.4,110.4,9.3,4,10,2023-05-05T06:28:44,2023-05-05T17:37:46,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
5,"São Paulo, SP, Brasil",2023-05-06,25.5,19.0,21.2,25.5,19.0,21.2,17.7,81.4,0,0,0,,0,0,20.5,16.2,118.3,1021.5,74.8,9.0,78.2,6.7,4,10,2023-05-06T06:29:11,2023-05-06T17:37:09,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,SBSP,F7461,SBGR,83780099999"
6,"São Paulo, SP, Brasil",2023-05-07,27.4,18.0,21.3,27.5,18.0,21.3,17.1,78.8,0,0,0,rain,0,0,12.6,14.5,101.5,1019.9,36.2,9.0,120.5,10.3,4,10,2023-05-07T06:29:39,2023-05-07T17:36:34,0.57,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
7,"São Paulo, SP, Brasil",2023-05-08,27.2,18.4,22.3,27.4,18.4,22.4,16.9,73.8,0,0,0,,0,0,19.4,14.4,355.5,1020.0,21.4,9.6,115.8,10.2,4,10,2023-05-08T06:30:07,2023-05-08T17:35:59,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
