,datetime,description,icon
0,2023-05-01,Partly cloudy throughout the day.,partly-cloudy-day
1,2023-05-02,Partly cloudy throughout the day.,partly-cloudy-day
2,2023-05-03,Partly cloudy throughout the day.,partly-cloudy-day
3,2023-05-04,Partly cloudy throughout the day.,partly-cloudy-day
4,2023-05-05,Partly cloudy throughout the day.,partly-cloudy-day
5,2023-05-06,Partly cloudy throughout the day.,partly-cloudy-day
6,2023-05-07,Clearing in the afternoon.,partly-cloudy-day
7,2023-05-08,Partly cloudy throughout the day.,partly-cloudy-day
