,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"São Paulo, SP, Brasil",2023-04-24,24.6,15.6,18.8,24.6,15.6,18.8,13.6,74.3,0.0,0,0.0,rain,0,0,23.4,22.2,117.2,1022.7,29.2,11.0,139.6,12.1,5,10,2023-04-24T06:23:53,2023-04-24T17:45:28,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
1,"São Paulo, SP, Brasil",2023-04-25,25.6,14.8,19.0,25.6,14.8,19.0,14.6,78.8,0.0,0,0.0,,0,0,15.1,15.2,133.8,1021.4,39.1,9.4,121.0,10.4,5,10,2023-04-25T06:24:19,2023-04-25T17:44:42,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
2,"São Paulo, SP, Brasil",2023-04-26,23.8,17.9,19.5,23.8,17.9,19.5,17.0,85.8,0.0,0,0.0,rain,0,0,33.5,18.6,358.5,1018.4,55.9,8.8,56.7,4.8,3,10,2023-04-26T06:24:44,2023-04-26T17:43:56,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
3,"São Paulo, SP, Brasil",2023-04-27,24.0,17.4,20.0,24.0,17.4,20.0,17.1,84.3,0.1,100,4.17,rain,0,0,32.4,16.1,298.9,1016.5,72.8,9.7,69.5,6.1,3,10,2023-04-27T06:25:10,2023-04-27T17:43:12,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
4,"São Paulo, SP, Brasil",2023-04-28,18.0,16.0,17.0,18.0,16.0,17.0,15.3,90.1,3.0,100,8.33,rain,0,0,19.8,16.2,144.7,1019.3,86.3,9.8,36.5,3.1,1,10,2023-04-28T06:25:36,2023-04-28T17:42:28,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
5,"São Paulo, SP, Brasil",2023-04-29,22.6,16.0,18.5,22.6,16.0,18.5,16.5,88.6,0.0,0,0.0,rain,0,0,20.5,19.2,123.5,1020.2,85.0,9.8,86.7,7.4,4,10,2023-04-29T06:26:03,2023-04-29T17:41:45,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,SBSP,F7461,SBGR,83780099999"
6,"São Paulo, SP, Brasil",2023-04-30,25.4,18.0,20.6,25.4,18.0,20.6,17.2,81.6,0.0,0,0.0,rain,0,0,16.6,16.1,116.3,1019.4,78.7,9.6,106.5,9.2,5,10,2023-04-30T06:26:29,2023-04-30T17:41:03,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
7,"São Paulo, SP, Brasil",2023-05-01,26.0,18.4,21.0,26.0,18.4,21.0,17.1,79.7,0.0,0,0.0,rain,0,0,17.3,18.1,139.5,1018.4,69.9,9.9,110.9,9.4,5,10,2023-05-01T06:26:56,2023-05-01T17:40:21,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,SBSP,F7461,SBGR,83780099999"
