,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2023-01-16,0.7,-1.1,0.0,-4.4,-7.8,-5.7,-3.0,80.9,2.629,100,41.67,"rain,snow",9.5,6.6,51.8,29.3,331.7,1008.6,100.0,11.0,22.6,1.8,1,10,2023-01-16T07:10:30,2023-01-16T16:37:49,0.83,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,F2973,OXBM3"
1,"Boston, MA, United States",2023-01-17,9.4,-0.1,4.4,7.0,-5.3,1.1,-2.4,62.1,0.31,100,12.5,"rain,freezingrain,snow,ice",0.0,4.1,42.5,20.3,264.5,1003.0,67.5,16.0,77.3,6.7,4,10,2023-01-17T07:09:59,2023-01-17T16:39:01,0.86,"Snow, Rain, Freezing Drizzle/Freezing Rain, Ice, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain or snow.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
2,"Boston, MA, United States",2023-01-18,10.0,5.6,7.4,10.0,1.9,4.8,1.0,64.2,0.807,100,20.83,rain,0.0,0.0,51.7,29.4,275.0,1004.7,72.4,15.8,58.3,4.9,3,10,2023-01-18T07:09:26,2023-01-18T16:40:14,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,C2439,OXBM3"
3,"Boston, MA, United States",2023-01-19,5.6,2.2,3.5,4.4,-1.7,0.4,-0.6,75.2,10.456,100,37.5,rain,0.5,0.1,35.3,22.0,352.0,1013.3,73.7,13.8,29.2,2.5,2,10,2023-01-19T07:08:51,2023-01-19T16:41:27,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,OXBM3"
4,"Boston, MA, United States",2023-01-20,3.3,0.0,1.2,-0.9,-4.6,-3.1,0.4,94.4,16.769,100,83.33,"rain,snow",5.0,0.4,60.4,36.2,356.2,1004.7,100.0,5.6,19.8,1.6,1,10,2023-01-20T07:08:13,2023-01-20T16:42:41,0.96,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,1299W,OXBM3"
5,"Boston, MA, United States",2023-01-21,0.7,-1.6,-0.7,-2.5,-6.3,-4.8,-4.1,78.1,0.0,0,0.0,,0.0,0.1,24.1,18.1,325.9,1018.9,100.0,15.4,24.2,2.2,1,10,2023-01-21T07:07:34,2023-01-21T16:43:56,0.0,Overcast,Cloudy skies throughout the day.,cloudy,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,OXBM3"
6,"Boston, MA, United States",2023-01-22,2.8,-1.6,0.1,0.8,-6.9,-3.5,-3.4,77.6,5.271,100,29.17,"rain,snow",0.3,0.2,31.7,18.1,236.3,1020.7,100.0,13.5,22.3,1.9,1,10,2023-01-22T07:06:52,2023-01-22T16:45:11,0.03,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3,E2725"
7,"Boston, MA, United States",2023-01-23,2.2,0.0,1.3,-2.4,-6.6,-4.1,0.1,91.7,23.283,100,87.5,"rain,snow",11.5,2.1,49.8,36.6,344.6,1002.1,99.5,6.6,13.5,1.1,1,10,2023-01-23T07:06:08,2023-01-23T16:46:27,0.06,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,F2973,OXBM3"
