,datetime,description,icon
0,2023-01-16,Cloudy skies throughout the day with rain or snow in the morning and afternoon.,snow
1,2023-01-17,Becoming cloudy in the afternoon with late afternoon rain or snow.,rain
2,2023-01-18,Partly cloudy throughout the day with rain clearing later.,rain
3,2023-01-19,Partly cloudy throughout the day with rain or snow.,snow
4,2023-01-20,Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow
5,2023-01-21,Cloudy skies throughout the day.,cloudy
6,2023-01-22,Cloudy skies throughout the day with rain or snow.,snow
7,2023-01-23,Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow
