,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"São Paulo, SP, Brasil",2023-06-26,26.1,12.7,19.2,26.1,12.7,19.2,11.2,64.8,0,0,0.0,,0,0,14.0,12.9,50.7,1022.2,0.1,10.0,97.3,8.5,4,10,2023-06-26T06:48:55,2023-06-26T17:30:09,0.25,Clear,Clear conditions throughout the day.,clear-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
1,"São Paulo, SP, Brasil",2023-06-27,25.1,12.5,19.0,25.1,12.5,19.0,11.0,62.7,0,0,0.0,,0,0,25.6,21.3,330.6,1021.8,0.0,10.9,98.8,8.5,4,10,2023-06-27T06:49:03,2023-06-27T17:30:26,0.31,Clear,Clear conditions throughout the day.,clear-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
2,"São Paulo, SP, Brasil",2023-06-28,25.2,12.6,19.5,25.2,12.6,19.5,11.7,62.7,0,0,0.0,,0,0,29.5,25.4,313.2,1022.0,0.5,10.8,97.7,8.4,4,10,2023-06-28T06:49:10,2023-06-28T17:30:44,0.34,Clear,Clear conditions throughout the day.,clear-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
3,"São Paulo, SP, Brasil",2023-06-29,21.5,13.7,17.4,21.5,13.7,17.4,13.9,80.8,0,0,0.0,rain,0,0,31.7,17.8,149.4,1025.0,47.7,9.9,83.6,7.3,4,10,2023-06-29T06:49:16,2023-06-29T17:31:03,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
4,"São Paulo, SP, Brasil",2023-06-30,20.6,15.0,16.8,20.6,15.0,16.8,14.0,84.3,1,100,4.17,rain,0,0,24.5,18.0,127.6,1025.6,74.1,9.0,71.2,6.1,3,10,2023-06-30T06:49:21,2023-06-30T17:31:22,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
5,"São Paulo, SP, Brasil",2023-07-01,23.0,14.8,17.2,23.0,14.8,17.2,13.6,80.8,0,0,0.0,rain,0,0,18.7,19.5,171.2,1023.0,66.4,8.8,89.3,7.6,4,10,2023-07-01T06:49:25,2023-07-01T17:31:42,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,SBSP,F7461,SBGR,83780099999"
6,"São Paulo, SP, Brasil",2023-07-02,19.6,13.0,16.1,19.6,13.0,16.1,12.3,79.5,0,0,0.0,rain,0,0,23.0,18.9,149.2,1022.0,39.3,10.4,96.0,8.3,4,10,2023-07-02T06:49:28,2023-07-02T17:32:03,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,SBSP,F7461,SBGR,83780099999"
7,"São Paulo, SP, Brasil",2023-07-03,17.6,12.0,14.5,17.6,12.0,14.5,11.2,81.6,0,0,0.0,,0,0,23.0,17.9,124.3,1024.5,58.6,11.1,54.0,4.5,2,10,2023-07-03T06:49:29,2023-07-03T17:32:24,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
