,datetime,description,icon
0,2023-06-26,Clear conditions throughout the day.,clear-day
1,2023-06-27,Clear conditions throughout the day.,clear-day
2,2023-06-28,Clear conditions throughout the day.,clear-day
3,2023-06-29,Partly cloudy throughout the day.,partly-cloudy-day
4,2023-06-30,Partly cloudy throughout the day with morning rain.,rain
5,2023-07-01,Partly cloudy throughout the day.,partly-cloudy-day
6,2023-07-02,Partly cloudy throughout the day.,partly-cloudy-day
7,2023-07-03,Partly cloudy throughout the day.,partly-cloudy-day
