,datetime,tempmin,temp,tempmax
0,2023-06-26,12.7,19.2,26.1
1,2023-06-27,12.5,19.0,25.1
2,2023-06-28,12.6,19.5,25.2
3,2023-06-29,13.7,17.4,21.5
4,2023-06-30,15.0,16.8,20.6
5,2023-07-01,14.8,17.2,23.0
6,2023-07-02,13.0,16.1,19.6
7,2023-07-03,12.0,14.5,17.6
