,datetime,description,icon
0,2023-07-24,Partly cloudy throughout the day.,partly-cloudy-day
1,2023-07-25,Partly cloudy throughout the day.,partly-cloudy-day
2,2023-07-26,Partly cloudy throughout the day.,partly-cloudy-day
3,2023-07-27,Becoming cloudy in the afternoon.,partly-cloudy-day
4,2023-07-28,Partly cloudy throughout the day.,partly-cloudy-day
5,2023-07-29,Cloudy skies throughout the day with rain in the morning and afternoon.,rain
6,2023-07-30,Partly cloudy throughout the day.,partly-cloudy-day
7,2023-07-31,Clearing in the afternoon.,partly-cloudy-day
