,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"São Paulo, SP, Brasil",2023-05-22,23.6,12.7,18.2,23.6,12.7,18.2,12.1,70.7,0,0,0.0,,0,0,18.0,13.5,58.5,1021.0,65.6,9.9,129.0,11.1,6,10,2023-05-22T06:36:41,2023-05-22T17:29:48,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
1,"São Paulo, SP, Brasil",2023-05-23,24.0,13.6,18.8,24.0,13.6,18.8,12.0,67.1,0,0,0.0,,0,0,20.9,16.1,100.1,1022.7,10.8,10.3,101.5,8.7,4,10,2023-05-23T06:37:09,2023-05-23T17:29:30,0.13,Clear,Clear conditions throughout the day.,clear-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
2,"São Paulo, SP, Brasil",2023-05-24,24.0,13.9,18.5,24.0,13.9,18.5,14.7,81.0,0,0,0.0,rain,0,0,16.6,19.7,104.5,1022.3,15.7,8.8,108.6,9.3,4,10,2023-05-24T06:37:37,2023-05-24T17:29:13,0.16,Clear,Clear conditions throughout the day.,clear-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
3,"São Paulo, SP, Brasil",2023-05-25,24.9,16.0,19.5,24.9,16.0,19.5,15.8,80.7,0,0,0.0,rain,0,0,15.8,16.3,86.9,1022.8,39.2,10.7,100.0,8.5,4,10,2023-05-25T06:38:05,2023-05-25T17:28:58,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
4,"São Paulo, SP, Brasil",2023-05-26,26.4,15.4,20.7,26.4,15.4,20.7,13.3,65.5,0,0,0.0,,0,0,33.5,18.3,58.5,1021.9,24.6,10.8,103.6,8.9,4,10,2023-05-26T06:38:32,2023-05-26T17:28:43,0.22,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
5,"São Paulo, SP, Brasil",2023-05-27,26.0,16.3,20.5,26.0,16.3,20.5,14.2,69.2,0,0,0.0,,0,0,20.2,17.2,17.9,1020.8,24.2,10.7,106.8,9.2,4,10,2023-05-27T06:38:59,2023-05-27T17:28:30,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,SBSP,F7461,SBGR,83780099999"
6,"São Paulo, SP, Brasil",2023-05-28,22.0,16.0,18.5,22.0,16.0,18.5,16.2,86.7,2,100,4.17,rain,0,0,47.2,18.1,218.8,1019.9,73.6,8.1,48.2,4.1,3,10,2023-05-28T06:39:27,2023-05-28T17:28:17,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
7,"São Paulo, SP, Brasil",2023-05-29,18.4,15.0,16.2,18.4,15.0,16.2,14.2,88.3,0,0,0.0,rain,0,0,50.4,22.4,144.6,1022.2,90.2,8.7,65.4,5.6,3,10,2023-05-29T06:39:53,2023-05-29T17:28:06,0.32,Overcast,Cloudy skies throughout the day.,cloudy,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
