,datetime,description,icon
0,2023-05-22,Partly cloudy throughout the day.,partly-cloudy-day
1,2023-05-23,Clear conditions throughout the day.,clear-day
2,2023-05-24,Clear conditions throughout the day.,clear-day
3,2023-05-25,Partly cloudy throughout the day.,partly-cloudy-day
4,2023-05-26,Becoming cloudy in the afternoon.,partly-cloudy-day
5,2023-05-27,Partly cloudy throughout the day.,partly-cloudy-day
6,2023-05-28,Partly cloudy throughout the day with late afternoon rain.,rain
7,2023-05-29,Cloudy skies throughout the day.,cloudy
