,datetime,description,icon
0,2023-04-03,Partly cloudy throughout the day.,partly-cloudy-day
1,2023-04-04,Partly cloudy throughout the day.,partly-cloudy-day
2,2023-04-05,Partly cloudy throughout the day.,partly-cloudy-day
3,2023-04-06,Partly cloudy throughout the day.,partly-cloudy-day
4,2023-04-07,Partly cloudy throughout the day with rain.,rain
5,2023-04-08,Partly cloudy throughout the day.,partly-cloudy-day
6,2023-04-09,Partly cloudy throughout the day.,partly-cloudy-day
7,2023-04-10,Partly cloudy throughout the day.,partly-cloudy-day
