,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"São Paulo, SP, Brasil",2023-04-03,25.6,15.4,19.8,25.6,15.4,19.8,15.8,78.9,0.0,0,0.0,rain,0,0,23.4,19.9,128.2,1018.6,46.2,10.3,156.9,13.5,5,10,2023-04-03T06:15:31,2023-04-03T18:04:02,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
1,"São Paulo, SP, Brasil",2023-04-04,28.8,18.4,21.8,28.4,18.4,21.8,16.7,75.4,0.0,0,0.0,,0,0,15.5,18.8,123.6,1017.1,62.0,10.3,155.2,13.5,6,30,2023-04-04T06:15:54,2023-04-04T18:03:05,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
2,"São Paulo, SP, Brasil",2023-04-05,26.2,17.0,20.7,26.2,17.0,20.7,16.8,80.2,0.0,0,0.0,,0,0,25.2,20.7,151.1,1017.7,53.0,9.2,127.8,10.9,5,10,2023-04-05T06:16:17,2023-04-05T18:02:07,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
3,"São Paulo, SP, Brasil",2023-04-06,24.4,18.0,20.7,24.4,18.0,20.7,17.2,81.0,0.0,0,0.0,rain,0,0,24.8,20.0,129.1,1018.2,69.6,10.3,109.1,9.6,5,10,2023-04-06T06:16:40,2023-04-06T18:01:10,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
4,"São Paulo, SP, Brasil",2023-04-07,22.0,18.0,19.7,22.0,18.0,19.7,18.5,92.5,7.8,100,8.33,rain,0,0,25.9,14.6,105.5,1016.9,77.3,9.7,47.9,4.4,2,10,2023-04-07T06:17:03,2023-04-07T18:00:14,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,83781099999,SBSP,F7461,SBGR,83780099999"
5,"São Paulo, SP, Brasil",2023-04-08,21.4,18.6,19.7,21.4,18.6,19.7,18.5,92.7,0.0,0,0.0,rain,0,0,28.4,17.8,134.5,1018.6,89.1,8.5,43.9,3.9,2,10,2023-04-08T06:17:26,2023-04-08T17:59:18,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,SBGR,83780099999"
6,"São Paulo, SP, Brasil",2023-04-09,21.6,17.9,19.2,21.6,17.9,19.2,16.6,85.2,0.0,0,0.0,rain,0,0,27.0,18.8,126.5,1021.1,74.7,10.6,57.8,5.1,3,10,2023-04-09T06:17:49,2023-04-09T17:58:22,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,SBSP,SBGR,83780099999"
7,"São Paulo, SP, Brasil",2023-04-10,24.6,15.4,19.1,24.6,15.4,19.1,14.1,74.8,0.0,0,0.0,,0,0,26.3,21.1,126.9,1021.9,37.2,10.6,255.0,22.1,9,10,2023-04-10T06:18:13,2023-04-10T17:57:26,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83781099999,SBSP,SBGR,83780099999"
