,datetime,description,icon
0,2023-06-05,Partly cloudy throughout the day.,partly-cloudy-day
1,2023-06-06,Partly cloudy throughout the day.,partly-cloudy-day
2,2023-06-07,Clear conditions throughout the day.,clear-day
3,2023-06-08,Clear conditions throughout the day.,clear-day
4,2023-06-09,Clear conditions throughout the day.,clear-day
5,2023-06-10,Clear conditions throughout the day.,clear-day
6,2023-06-11,Clear conditions throughout the day.,clear-day
7,2023-06-12,Partly cloudy throughout the day.,partly-cloudy-day
